Rank,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Stephen Curry,16,34.8,32.1,10.8,21.1,51.2,4.9,11.3,43.1,5.6,6,93.8,0.4,4.7,5.1,5.9,2.6,0.2,3.6,31.6
2,James Harden,15,39.1,28.7,8.1,20.4,39.5,2.7,9.2,29,9.9,11.1,89.2,0.9,5.3,6.1,6.3,2.1,1,4.7,26
3,Russell Westbrook,16,34.8,28.1,9.7,20.4,47.4,1.7,5.4,31.4,7,8.4,83,2.1,5.4,7.4,10.3,2.6,0.4,4.9,31.7
4,Paul George,14,35.6,25.9,8.6,18.7,45.8,3,6.6,45.7,5.8,6.9,84.4,1.6,6.9,8.4,4.8,1.6,0.1,3.6,26.1
5,LeBron James,15,36.4,25.7,9.7,19.1,50.9,1.2,3.9,30.5,5,7.6,65.8,1.3,5.8,7.1,6.8,1.4,0.6,3.2,26.3
6,Blake Griffin,15,34.2,25.4,10.4,18.9,55.1,0.2,0.6,33.3,4.4,5.9,75,2.2,6.5,8.7,4.4,0.8,0.6,2.2,27.8
7,Damian Lillard,16,37.6,25.1,8.8,21,41.7,2.8,8,35.2,4.8,5.6,86.5,0.6,3.9,4.6,7.2,1.2,0.3,3.6,21.8
8,Anthony Davis,12,34.3,23.5,8.6,17.5,49,0.7,1.8,36.4,5.7,7.6,74.7,1.9,8.9,10.8,1.8,1.2,2.5,2.5,26.5
9,Eric Bledsoe,14,34.4,22.9,7.9,16.9,46.8,1.8,4.5,39.7,5.2,6.3,83,0.5,3.6,4.1,5.9,1.9,0.6,3.6,21.5
10,Carmelo Anthony,16,34.6,22.8,7.9,18.9,41.7,1.7,4.8,35.1,5.4,6.2,86.9,1.4,6.3,7.6,3.3,1,0.6,2.2,21.3
11,Brandon Knight,15,35.7,21.9,7.9,17.7,44.4,2.7,6.6,41.4,3.5,4.2,82.5,0.9,3.5,4.5,5.7,1.6,0.5,3.5,20
12,Andrew Wiggins,14,34.9,21.8,7.6,17.9,42.4,0.7,2.6,27.8,5.9,8,74.1,1.6,2,3.6,1.9,0.8,0.6,2.2,14.2
12,Kawhi Leonard,14,34.9,21.8,8.7,16.9,51.5,1.9,4.1,46.6,2.4,2.9,85,1.4,6.5,7.9,2.2,1.9,1.1,1.3,24.9
14,Isaiah Thomas,15,30.5,21.2,7.1,16.7,42.4,2.3,6.7,33.7,4.8,5.6,85.7,0.3,1.6,1.9,6.1,1.5,0,2.8,17.6
15,Jimmy Butler,13,36.5,21.1,6.9,15.1,45.9,1.5,3.8,40.8,5.7,7.2,78.7,0.8,4.5,5.2,3.4,2.1,0.7,1.5,21.2
16,DeMar DeRozan,16,36.1,20.8,6.5,15.8,41.3,0.3,1.4,21.7,7.5,9.1,82.2,0.7,3.7,4.4,4.2,1.2,0.3,2.6,17.4
17,Kyle Lowry,16,35.6,20.6,6.2,14.8,41.8,2.6,6.5,40.4,5.6,6.3,88.1,0.8,3.8,4.5,6.4,2.8,0.6,3,22.4
18,Brook Lopez,15,34.1,20.1,7.9,16.4,48,0,0.2,0,4.4,5.3,83.5,3.2,5.1,8.3,1.5,0.4,2.1,2.1,20.9
19,Bradley Beal,9,34.3,20,7.8,17,45.8,2.3,5.6,42,2.1,2.9,73.1,1,3.2,4.2,2.3,1,0.3,2.7,15.2
20,CJ McCollum,16,34.9,19.9,7.6,16.9,44.8,2,5.3,37.6,2.8,3.2,88.2,0.6,2.9,3.5,3.2,0.9,0.4,2.2,16.1
21,Kevin Love,15,34.5,19.5,6.7,15.1,44.7,2.7,6.9,38.5,3.4,4,85,2.9,8.9,11.8,2.5,0.6,0.6,2.5,23.6
22,Rudy Gay,14,32.6,19.5,7.9,16.7,47.4,1,2.8,35.9,2.6,3.3,80.4,1.6,5.2,6.9,2.4,1.1,0.2,2,18.7
23,Reggie Jackson,15,30.9,19.3,7.1,16.4,43.5,1.5,4.3,35.4,3.5,4.2,84.1,0.6,3.6,4.2,6,0.9,0.1,3.7,17
23,Ryan Anderson,15,32.9,19.3,7.3,15,48.4,2.3,5.8,39.1,2.5,3.1,82.6,2,4.9,6.9,1.1,0.5,0.4,1.7,18.3
25,Eric Gordon,15,36.1,18.8,6.4,15.7,40.9,2.9,8.2,35.8,3.1,3.5,88.5,0.4,2.1,2.5,3.2,1.1,0.2,1.6,14.6